PSTAR: Stopping Powers and Range Tables for Protons

AIR (dry, near sea level)                                               

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

3.000E+02 3.117E+00 7.631E-04 3.118E+00 
3.500E+02 2.870E+00 6.591E-04 2.871E+00 
4.000E+02 2.686E+00 5.806E-04 2.687E+00 
4.500E+02 2.544E+00 5.191E-04 2.544E+00 
5.000E+02 2.431E+00 4.697E-04 2.431E+00 
5.500E+02 2.340E+00 4.291E-04 2.340E+00 
6.000E+02 2.265E+00 3.951E-04 2.266E+00 
6.500E+02 2.203E+00 3.663E-04 2.203E+00 
7.000E+02 2.151E+00 3.414E-04 2.151E+00 
7.500E+02 2.107E+00 3.198E-04 2.107E+00 
8.000E+02 2.069E+00 3.009E-04 2.069E+00 
8.500E+02 2.036E+00 2.841E-04 2.037E+00 
9.000E+02 2.008E+00 2.691E-04 2.008E+00 
9.500E+02 1.984E+00 2.557E-04 1.984E+00 
1.000E+03 1.962E+00 2.436E-04 1.963E+00 
1.500E+03 1.850E+00 1.661E-04 1.850E+00 
2.000E+03 1.820E+00 1.267E-04 1.820E+00 
2.500E+03 1.818E+00 1.027E-04 1.818E+00 
3.000E+03 1.828E+00 8.655E-05 1.828E+00 
4.000E+03 1.861E+00 6.608E-05 1.861E+00 
5.000E+03 1.898E+00 5.362E-05 1.898E+00 
6.000E+03 1.933E+00 4.520E-05 1.934E+00 
7.000E+03 1.967E+00 3.913E-05 1.967E+00 
8.000E+03 1.998E+00 3.453E-05 1.998E+00 
9.000E+03 2.026E+00 3.093E-05 2.026E+00 
1.000E+04 2.052E+00 2.803E-05 2.052E+00 
